optimizer,mean,ci_lower,ci_upper,error
sgd,0.5739553087766851,0.5679149161204716,0.5799957014328986,0.012080785312426956
adam,0.5737157950430853,0.5653283622468256,0.5821032278393451,0.016774865592519506
