alpha,mean,ci_lower,ci_upper
0.0001,0.6537909018355945,0.6483877781539242,0.6591940255172648
0.001,0.6525538707102952,0.6467175974151812,0.6583901440054093
0.01,0.6531524341580207,0.6477988026979472,0.6585060656180942
0.1,0.6458898643256183,0.638896054464156,0.6528836741870807
1.0,0.6266959297685555,0.615625266364323,0.6377665931727879
10.0,0.5867916999201915,0.5811267256315378,0.5924566742088453
