optimizer,mean,ci_lower,ci_upper,error
sgd,0.5520058155202456,0.5382930421404586,0.5657185889000327,0.027425546759574093
adam,0.549628687743512,0.5388173409754006,0.5604400345116235,0.021622693536222926
