optimizer,mean,ci_lower,ci_upper,error
sgd,2.1631776373237734,2.1308108645286383,2.1955444101189086,0.06473354559027023
adam,2.1691674906945497,2.140035640475736,2.1982993409133633,0.058263700437627186
