hidden_nodes,mean,ci_lower,ci_upper
5,0.6354349561053472,0.6291675873460251,0.6417023248646693
10,0.6395051875498803,0.6346829146584675,0.6443274604412931
15,0.6389864325618516,0.6334250119718119,0.6445478531518913
20,0.6405027932960895,0.633897464967696,0.6471081216244831
25,0.640343176376696,0.6355211851244582,0.6451651676289338
30,0.641340782122905,0.6359349779877985,0.6467465862580115
35,0.6443735035913807,0.6360686967688679,0.6526783104138935
40,0.6436153232242617,0.6375891533519821,0.6496414930965414
45,0.6419792498004789,0.6370225414273232,0.6469359581736347
50,0.6432561851556263,0.6380462026259939,0.6484661676852588
55,0.6435754189944134,0.6374223512548522,0.6497284867339745
60,0.6432561851556265,0.6366446230251861,0.649867747286067
65,0.6454509177972865,0.6406871091630868,0.6502147264314861
70,0.6405426975259377,0.634872052311098,0.6462133427407775
75,0.6433758978451716,0.6389925758429872,0.647759219847356
80,0.6420590582601756,0.6378037066510139,0.6463144098693373
85,0.6441739824421389,0.6396946310841004,0.6486533338001773
90,0.6461292897047087,0.6419668684178284,0.6502917109915891
95,0.6419393455706306,0.6371154770344891,0.6467632141067721
100,0.6437350359138068,0.6382758990863131,0.6491941727413004
