learning_rate,mean,ci_lower,ci_upper
0.001,0.6032721468475659,0.5973745304083902,0.6091697632867417
0.01,0.6461292897047087,0.6419668684178284,0.6502917109915891
0.05,0.6511572226656026,0.6467785506367941,0.6555358946944111
0.1,0.6505187549880287,0.64364823975673,0.6573892702193274
0.25,0.6509577015163607,0.6446287332191273,0.6572866698135941
0.5,0.6418196328810853,0.6256699147711993,0.6579693509909714
