optimizer,mean,ci_lower,ci_upper,error
sgd,0.6547086991221069,0.6505588039583831,0.6588585942858308,0.008299790327447765
adam,0.6447725458898643,0.6381243845900172,0.6514207071897115,0.013296322599694266
